Month,Monthly GDP (A-T),Agriculture (A),Construction (F),Production (B-E),Services (G-T)
1997Jan,63.3398,51.9196,88.6822,81.8493,58.9698
1997Feb,63.9959,52.5957,89.3841,82.0903,59.7182
1997Mar,64.0355,53.2952,90.3395,80.8967,59.97
1997Apr,64.6273,54.6361,92.6826,82.9387,60.1678
1997May,64.1371,55.2798,93.1397,82.573,59.5863
1997Jun,64.4682,55.8595,92.8298,82.8206,59.9621
1997Jul,64.7983,56.564,92.5663,84.5202,60.0228
1997Aug,64.874,57.1136,92.2496,83.5088,60.3402
1997Sep,65.0102,57.7089,92.7487,83.9802,60.3826
1997Oct,65.444,58.4946,94.2312,85.0168,60.6386
1997Nov,65.7134,59.4209,95.7106,85.1218,60.8828
1997Dec,66.249,60.5133,97.1054,85.3359,61.4453
1998Jan,66.0175,61.4986,97.8511,85.3169,61.1077
1998Feb,66.5757,62.4869,98.1885,86.0949,61.6274
1998Mar,66.407,63.2187,97.6373,86.7155,61.2946
1998Apr,66.9183,63.6317,96.2646,87.0641,61.9273
1998May,66.7035,64.3188,95.5252,86.3827,61.8187
1998Jun,66.7747,65.1968,95.4822,86.676,61.8365
1998Jul,66.9307,65.8517,95.6046,86.4368,62.0711
1998Aug,67.1247,66.3371,96.4189,86.8602,62.1871
1998Sep,67.1447,66.3223,97.2666,87.1514,62.1148
1998Oct,67.3231,66.1898,97.9592,87.1777,62.3101
1998Nov,67.6756,66.8648,98.7279,87.3854,62.6695
1998Dec,67.81,68.5771,99.5406,87.7368,62.7097
1999Jan,67.8739,70.9246,100.5497,89.0178,62.4601
1999Feb,68.1456,72.6805,101.0117,89.1205,62.7376
1999Mar,68.1448,73.4168,101.2023,89.9655,62.5511
1999Apr,67.8454,73.5142,101.4661,89.7693,62.1993
1999May,68.5512,73.4622,101.9056,90.6581,62.8937
1999Jun,68.6516,73.7894,102.8,90.5416,62.9982
1999Jul,69.1674,74.2494,103.4523,91.3938,63.444
1999Aug,69.504,75.0056,104.0446,92.0718,63.6969
1999Sep,69.8951,75.6789,103.9339,92.6026,64.0805
1999Oct,70.3359,76.0565,103.3107,92.048,64.77
1999Nov,70.7333,76.4846,103.0844,92.7304,65.1429
1999Dec,70.5946,76.7909,103.3884,91.4867,65.1821
2000Jan,71.6041,77.7011,104.8716,92.2597,66.2136
2000Feb,71.269,78.1353,105.3039,92.5538,65.7166
2000Mar,71.0996,78.794,105.174,92.3136,65.5485
2000Apr,71.5466,79.0523,103.6831,92.0713,66.2154
2000May,71.9153,79.807,102.5028,92.3692,66.6653
2000Jun,72.266,80.4232,101.0671,92.9442,67.0552
2000Jul,72.0046,81.0386,99.9425,92.311,66.8933
2000Aug,72.6692,81.5884,99.4827,93.4972,67.5158
2000Sep,72.5738,82.1872,100.0709,93.2195,67.4152
2000Oct,72.6839,82.5356,101.0806,93.4369,67.465
2000Nov,72.9247,82.5774,101.7959,94.2461,67.5783
2000Dec,73.2335,82.0449,101.6312,96.1809,67.6154
2001Jan,73.4746,81.0595,101.0662,95.8896,68.0131
2001Feb,73.4651,79.8476,100.9259,96.0199,67.9973
2001Mar,73.8246,78.66,101.6869,96.8079,68.2733
2001Apr,73.7343,77.8798,102.6944,97.2624,68.0313
2001May,73.7658,78.2471,103.4249,96.7515,68.1267
2001Jun,74.0746,79.8845,103.1442,97.5245,68.3656
2001Jul,74.0539,81.9685,102.4971,97.244,68.4044
2001Aug,74.2594,82.9091,101.8229,98.341,68.4794
2001Sep,74.2036,82.1573,101.8745,97.8383,68.5095
2001Oct,74.3742,81.2408,102.3439,97.2306,68.8234
2001Nov,74.3529,82.6366,102.7661,97.3324,68.7432
